Sent At,Direction
"5/4/20, 10:59 AM",OUTGOING
"5/4/20, 9:51 AM",OUTGOING
"5/4/20, 9:51 AM",OUTGOING
"5/4/20, 8:32 AM",OUTGOING
"5/4/20, 2:41 AM",OUTGOING
"5/4/20, 2:40 AM",OUTGOING
"5/4/20, 2:38 AM",OUTGOING
"5/3/20, 3:53 PM",OUTGOING
"5/3/20, 6:14 AM",OUTGOING
"5/3/20, 1:33 AM",OUTGOING
"5/3/20, 1:31 AM",OUTGOING
"5/3/20, 1:03 AM",OUTGOING
"5/3/20, 1:02 AM",OUTGOING
"5/3/20, 12:55 AM",OUTGOING
"5/3/20, 12:22 AM",OUTGOING
"5/2/20, 2:16 PM",OUTGOING
"5/2/20, 8:34 AM",OUTGOING
"5/2/20, 8:20 AM",OUTGOING
"5/1/20, 11:44 AM",OUTGOING
"4/28/20, 12:16 PM",OUTGOING
"4/27/20, 2:05 PM",OUTGOING
"4/26/20, 8:43 PM",OUTGOING
"4/25/20, 3:26 AM",OUTGOING
"4/16/20, 5:57 AM",OUTGOING
"4/11/20, 11:41 PM",OUTGOING
"4/11/20, 6:02 PM",OUTGOING
"4/11/20, 6:02 PM",OUTGOING
"4/11/20, 6:02 PM",OUTGOING
"4/11/20, 6:01 PM",OUTGOING
"4/11/20, 6:02 PM",OUTGOING
"4/11/20, 5:38 PM",OUTGOING
"4/11/20, 10:50 AM",OUTGOING
"4/7/20, 2:27 PM",OUTGOING
"3/22/20, 6:07 AM",OUTGOING
"3/22/20, 6:06 AM",OUTGOING
